Kingdom Phylum Class Order Family Genus Species NA
74 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae NA NA
75 Eukaryota Viridiplantae Streptophyta Magnoliopsida Laurales Lauraceae Beilschmiedia sp.
76 NA NA NA NA NA NA NA NA
77 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
78 NA NA NA NA NA NA NA NA
79 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae NA NA
80 NA NA NA NA NA NA NA NA
81 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
82 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
83 NA NA NA NA NA NA NA NA
84 Eukaryota Viridiplantae Streptophyta Magnoliopsida Malvales Malvaceae NA NA
85 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
86 Eukaryota Viridiplantae Streptophyta Magnoliopsida Gentianales Rubiaceae Randia sp.
87 Eukaryota Viridiplantae Streptophyta Magnoliopsida Celastrales Celastraceae Salacia elegans
88 NA NA NA NA NA NA NA NA
89 NA NA NA NA NA NA NA NA
90 Eukaryota Viridiplantae Streptophyta Magnoliopsida Malpighiales Chrysobalanaceae Parinari excelsa
91 NA NA NA NA NA NA NA NA
92 Eukaryota Viridiplantae Streptophyta Magnoliopsida Magnoliales Annonaceae Uvaria angolensis
93 NA NA NA NA NA NA NA NA
94 Eukaryota Viridiplantae Streptophyta Magnoliopsida Fabales Fabaceae NA NA
95 NA NA NA NA NA NA NA NA
96 Eukaryota Viridiplantae Streptophyta Magnoliopsida Piperales Piperaceae Piper guineense
97 NA NA NA NA NA NA NA NA
98 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
99 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales NA NA NA
100 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
101 Eukaryota Viridiplantae Streptophyta Magnoliopsida Zingiberales Costaceae Costus afer
102 NA NA NA NA NA NA NA NA
103 Eukaryota Viridiplantae Streptophyta Magnoliopsida Malpighiales Phyllanthaceae Flueggea virosa
104 Eukaryota Viridiplantae Streptophyta Magnoliopsida Laurales NA NA NA
105 NA NA NA NA NA NA NA NA
106 NA NA NA NA NA NA NA NA
107 NA NA NA NA NA NA NA NA
108 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae NA NA
109 NA NA NA NA NA NA NA NA
110 Eukaryota Viridiplantae Streptophyta Magnoliopsida Malvales Malvaceae Hibiscus sp.
111 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales NA NA NA
112 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
113 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
114 NA NA NA NA NA NA NA NA
115 NA NA NA NA NA NA NA NA
116 NA NA NA NA NA NA NA NA
117 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
118 Eukaryota Viridiplantae Streptophyta Magnoliopsida Poales Poaceae NA NA
119 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae Bosqueia phoberos
120 NA NA NA NA NA NA NA NA
121 NA NA NA NA NA NA NA NA
122 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Rosaceae Rubus apetalus
123 Eukaryota Viridiplantae Streptophyta Magnoliopsida Sapindales Sapindaceae Aphania senegalensis
124 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae NA NA
125 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
126 NA NA NA NA NA NA NA NA
127 Eukaryota Viridiplantae Streptophyta Magnoliopsida Malvales Malvaceae NA NA
128 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
129 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
130 NA NA NA NA NA NA NA NA
131 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
132 Eukaryota Viridiplantae Streptophyta Magnoliopsida Fabales Fabaceae NA NA
133 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales NA NA NA
134 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
135 Eukaryota Viridiplantae Streptophyta Magnoliopsida Malpighiales Euphorbiaceae Macaranga sp.
136 Eukaryota Viridiplantae Streptophyta Magnoliopsida Laurales Hernandiaceae Illigera pentaphylla
137 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
138 Eukaryota Viridiplantae Streptophyta Magnoliopsida Fabales Fabaceae Milletia dura
139 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae NA NA
140 NA NA NA NA NA NA NA NA
141 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Rosaceae Prunus africana
142 Eukaryota Viridiplantae Streptophyta Magnoliopsida Ranunculales Menispermaceae Syrrheonema sp.
143 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
144 Eukaryota Viridiplantae Streptophyta Magnoliopsida Caryophyllales Phytolaccaceae Phytolacca NA
145 Eukaryota Viridiplantae Streptophyta Magnoliopsida Malpighiales Euphorbiaceae Neoboutonia macrocalyx
146 Eukaryota Viridiplantae Streptophyta Magnoliopsida Caryophyllales Phytolaccaceae Phytolacca NA
147 Eukaryota Viridiplantae Streptophyta Magnoliopsida Geraniales Francoaceae Bersama abyssinica
148 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales NA NA NA
