Kingdom Phylum Class Order Family
140 NA NA NA NA NA
141 Magnoliopsida Rosales NA NA NA
142 Magnoliopsida NA NA NA NA
143 Magnoliopsida NA NA NA NA
144 Magnoliopsida Caryophyllales Phytolaccaceae Phytolacca sp.
145 Magnoliopsida Malpighiales Euphorbiaceae Neoboutonia macrocalyx
146 Magnoliopsida Caryophyllales Phytolaccaceae Phytolacca sp.
147 Magnoliopsida Geraniales Francoaceae Bersama abyssinica
148 Magnoliopsida Rosales Moraceae NA NA
149 Magnoliopsida NA NA NA NA
150 Magnoliopsida NA NA NA NA
151 NA NA NA NA NA
152 NA NA NA NA NA
153 Magnoliopsida NA NA NA NA
154 NA NA NA NA NA
155 Magnoliopsida Rosales NA NA NA
156 NA NA NA NA NA
157 Magnoliopsida NA NA NA NA
158 Magnoliopsida Poales Poaceae Sugarcane sp.
159 Magnoliopsida Fabales Fabaceae Dicrostachys cinerea
160 Magnoliopsida Gentianales Rubiaceae Mitragyna sp.
161 NA NA NA NA NA
162 Magnoliopsida Asterales Asteraceae Vernonia sp.
163 NA NA NA NA NA
164 NA NA NA NA NA
165 Magnoliopsida Celastrales Celastraceae Salacia elegans
166 NA NA NA NA NA
167 Magnoliopsida Celastrales Celastraceae Salacia elegans
168 Magnoliopsida NA NA NA NA
169 NA NA NA NA NA
170 NA NA NA NA NA
171 Magnoliopsida Caryophyllales Phytolaccaceae Phytolacca sp.
172 Magnoliopsida Rosales Moraceae Ficus sp.
173 Magnoliopsida NA NA NA NA
174 Magnoliopsida NA NA NA NA
175 Magnoliopsida Rosales NA NA NA
176 NA NA NA NA NA
177 Magnoliopsida Caryophyllales Phytolaccaceae Phytolacca sp.
178 Magnoliopsida Asterales Asteraceae Vernonia sp.
179 Magnoliopsida Rosales Cannabaceae Celtis durandii
180 NA NA NA NA NA
181 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
182 NA NA NA NA NA
183 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
184 Magnoliopsida NA NA NA NA
185 Magnoliopsida NA NA NA NA
186 Magnoliopsida Fabales Fabaceae Acacia hockii
187 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
188 Magnoliopsida Rosales Moraceae NA NA
189 NA NA NA NA NA
190 Magnoliopsida Ericales Sapotaceae NA NA
191 Magnoliopsida NA NA NA NA
192 Magnoliopsida Sapindales Sapindaceae Pancovia turbinata
193 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
194 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
195 Magnoliopsida NA NA NA NA
196 NA NA NA NA NA
197 NA NA NA NA NA
198 NA NA NA NA NA
199 NA NA NA NA NA
200 Magnoliopsida Zingiberales NA NA NA
201 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
202 Magnoliopsida Sapindales Rutaceae Clausena sp.
203 NA NA NA NA NA
204 Magnoliopsida Rosales NA NA NA
205 NA NA NA NA NA
206 NA NA NA NA NA
207 NA NA NA NA NA
